Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Milwaukee Bucks*,48.7,38.9,76.0,10.3,37.8,25.5,8.1,4.6
Brooklyn Nets*,49.4,39.2,80.4,8.9,35.5,26.8,6.7,5.3
Washington Wizards*,47.5,35.1,76.9,9.7,35.5,25.5,7.3,4.1
Utah Jazz*,46.8,38.9,79.9,10.6,37.6,23.7,6.6,5.2
Portland Trail Blazers*,45.3,38.5,82.3,10.6,33.9,21.3,6.9,5.0
Phoenix Suns*,49.0,37.8,83.4,8.8,34.2,26.9,7.2,4.3
Indiana Pacers,47.4,36.4,79.2,9.0,33.7,27.4,8.5,6.4
Denver Nuggets*,48.5,37.7,80.3,10.5,33.9,26.8,8.1,4.5
New Orleans Pelicans,47.7,34.8,72.9,11.7,35.7,26.0,7.6,4.4
Los Angeles Clippers*,48.2,41.1,83.9,9.4,34.7,24.4,7.1,4.1
Atlanta Hawks*,46.8,37.3,81.2,10.6,35.1,24.1,7.0,4.8
Sacramento Kings,48.1,36.4,74.5,9.4,32.0,25.5,7.5,5.0
Golden State Warriors,46.8,37.6,78.5,8.0,35.1,27.7,8.2,4.8
Philadelphia 76ers*,47.6,37.4,76.7,10.0,35.0,23.7,9.1,6.2
Memphis Grizzlies*,46.7,35.6,77.1,11.2,35.3,26.9,9.1,5.1
Boston Celtics*,46.6,37.4,77.5,10.6,33.6,23.5,7.7,5.3
Dallas Mavericks*,47.0,36.2,77.8,9.1,34.2,22.9,6.3,4.3
Minnesota Timberwolves,44.8,34.9,76.1,10.5,33.0,25.6,8.8,5.5
Toronto Raptors,44.8,36.8,81.5,9.4,32.1,24.1,8.6,5.4
San Antonio Spurs,46.2,35.0,79.2,9.3,34.6,24.4,7.0,5.1
Chicago Bulls,47.6,37.0,79.1,9.6,35.3,26.8,6.7,4.2
Los Angeles Lakers*,47.2,35.4,73.9,9.7,34.6,24.7,7.8,5.4
Charlotte Hornets,45.5,36.9,76.1,10.6,33.2,26.8,7.8,4.8
Houston Rockets,44.4,33.9,74.0,9.3,33.3,23.6,7.6,5.0
Miami Heat*,46.8,35.8,79.0,8.0,33.5,26.3,7.9,4.0
New York Knicks*,45.6,39.2,78.4,9.7,35.5,21.4,7.0,5.1
Detroit Pistons,45.2,35.1,75.9,9.6,33.1,24.2,7.4,5.2
Oklahoma City Thunder,44.1,33.9,72.5,9.9,35.7,22.1,7.0,4.4
Orlando Magic,42.9,34.3,77.5,10.4,35.1,21.8,6.9,4.4
Cleveland Cavaliers,45.0,33.6,74.3,10.4,32.3,23.8,7.8,4.5
